Duration,Protocol,SourceIP,DestinationIP,SourcePort,DestinationPort,PacketCount,ByteCount,Label
24.07774941,TCP,192.168.1.239,192.168.1.234,8055,1,827,198244,Attack
97.25238353,ICMP,192.168.1.176,192.168.1.82,63174,687,673,1202973,Normal
85.84265357,TCP,192.168.1.120,192.168.1.113,30873,570,319,984671,Attack
79.19699129,UDP,192.168.1.212,192.168.1.140,4410,683,375,36284,Normal
34.92801849,TCP,192.168.1.17,192.168.1.223,4702,989,465,817463,Normal
31.13516643,TCP,192.168.1.141,192.168.1.233,49643,328,766,47409,
22.89652969,TCP,192.168.1.86,192.168.1.219,52005,571,361,526498,Attack
29.76814924,UDP,192.168.1.163,192.168.1.238,20260,312,709,1159755,Normal
65.64680342,TCP,192.168.1.235,192.168.1.62,4393,767,105,186558,Attack
22.8453033,TCP,192.168.1.130,192.168.1.183,15310,620,224,560158,Attack
63.5301087,UDP,192.168.1.129,192.168.1.20,,610,491,119875,Normal
9.027575338,ICMP,192.168.1.90,192.168.1.23,65017,72,33,852745,Normal
16.91742587,ICMP,192.168.1.255,192.168.1.77,29712,859,254,119942,Normal
79.03652648,UDP,192.168.1.40,192.168.1.110,10135,6,143,378711,Attack
85.54499164,TCP,192.168.1.198,192.168.1.45,58469,447,639,1478921,Attack
43.12054557,ICMP,192.168.1.124,192.168.1.204,53868,667,15,814764,Normal
59.35800704,UDP,192.168.1.79,192.168.1.206,8615,828,958,352053,Attack
13.6131925,ICMP,192.168.1.224,192.168.1.209,45050,91,906,1102961,Normal
47.62954455,ICMP,,192.168.1.52,22475,40,105,422057,Normal
0.562875462,ICMP,192.168.1.8,192.168.1.116,40413,300,,588809,Normal
8.786202011,UDP,192.168.1.120,192.168.1.216,36125,521,615,398001,Normal
25.14631638,TCP,192.168.1.246,192.168.1.233,64751,746,743,755127,Normal
73.544234,UDP,192.168.1.33,192.168.1.142,13271,776,767,75819,Attack
78.11039849,TCP,192.168.1.168,192.168.1.24,10306,111,802,819088,Attack
91.52686468,,192.168.1.105,192.168.1.11,34664,31,240,1434220,Normal
17.90068583,TCP,192.168.1.183,192.168.1.127,41171,116,795,660728,Normal
42.27149156,UDP,192.168.1.169,192.168.1.49,32759,757,439,887414,Normal
60.39435579,TCP,192.168.1.202,192.168.1.20,23290,443,775,1365257,Normal
63.47875202,TCP,192.168.1.74,192.168.1.83,26571,877,667,1409057,Attack
81.61499898,UDP,192.168.1.64,192.168.1.110,4201,73,603,607802,Normal
83.23113266,ICMP,192.168.1.118,192.168.1.155,30451,300,986,1443795,Attack
75.40006972,UDP,192.168.1.74,192.168.1.61,37842,615,963,593070,Normal
73.42457828,TCP,192.168.1.97,192.168.1.124,64008,690,195,86189,Normal
19.8652907,UDP,192.168.1.167,192.168.1.253,10170,967,675,472422,Normal
,TCP,192.168.1.49,192.168.1.239,13237,174,795,1442687,Attack
90.55038026,TCP,192.168.1.190,192.168.1.254,15483,685,535,353068,Attack
23.10572084,UDP,192.168.1.201,192.168.1.92,47774,255,123,784528,Normal
39.21101809,TCP,192.168.1.206,192.168.1.2,32060,923,722,1160339,Normal
87.6615418,TCP,192.168.1.116,192.168.1.226,3101,559,174,1248806,Attack
30.79382131,UDP,192.168.1.238,192.168.1.4,,789,953,,Attack
70.9222161,TCP,192.168.1.50,192.168.1.233,23825,558,299,915940,Attack
64.76171856,ICMP,192.168.1.223,192.168.1.217,64367,273,776,653381,Attack
18.0362094,TCP,192.168.1.117,192.168.1.152,1801,582,697,850734,Normal
94.60406274,TCP,192.168.1.186,192.168.1.141,21162,746,123,1268676,Attack
31.49051137,TCP,192.168.1.182,192.168.1.90,39175,705,533,489356,Normal
29.95865597,TCP,192.168.1.39,192.168.1.173,39935,593,504,392429,
58.65813738,TCP,192.168.1.230,192.168.1.115,24026,345,328,260969,Attack
43.01072232,UDP,192.168.1.128,192.168.1.13,32566,717,466,1011359,Normal
80.12397804,UDP,192.168.1.23,192.168.1.145,18020,754,335,1076786,Attack
25.6696277,UDP,192.168.1.109,192.168.1.6,40507,613,677,429057,Attack
70.51040545,TCP,192.168.1.183,192.168.1.152,19024,,349,9996,Normal
19.36591772,ICMP,,192.168.1.250,29490,989,917,520711,Attack
24.27338978,TCP,192.168.1.230,192.168.1.127,25177,359,275,269092,Normal
90.01117695,ICMP,192.168.1.74,192.168.1.109,3418,794,854,1009641,Normal
98.2480776,TCP,192.168.1.81,192.168.1.43,53880,38,509,1204862,Attack
89.81496987,UDP,192.168.1.41,192.168.1.54,64606,675,38,1416953,Attack
40.77043704,ICMP,192.168.1.15,192.168.1.76,18162,701,691,246471,Attack
71.86710565,UDP,192.168.1.37,192.168.1.251,15552,782,229,627702,Normal
99.23070936,ICMP,192.168.1.255,192.168.1.238,21179,391,31,476087,Attack
33.9011319,ICMP,192.168.1.186,192.168.1.48,14815,1016,639,635389,Normal
44.66181945,TCP,192.168.1.226,192.168.1.156,12616,963,125,1375964,Attack
56.53371218,UDP,192.168.1.200,192.168.1.128,32263,314,574,69447,Attack
33.82650627,TCP,192.168.1.41,192.168.1.136,34647,500,32,1074284,Normal
6.171546124,ICMP,192.168.1.42,192.168.1.134,39814,960,46,1063937,Attack
7.569696158,TCP,192.168.1.44,192.168.1.190,29300,645,909,1453734,Normal
99.49754594,,192.168.1.13,192.168.1.138,14708,567,228,494833,Normal
48.26344396,UDP,192.168.1.139,192.168.1.57,26762,247,368,262025,Normal
,TCP,192.168.1.122,192.168.1.216,58357,346,339,1211901,Attack
33.36656446,ICMP,192.168.1.186,192.168.1.206,13653,479,32,827620,Attack
45.74403215,TCP,192.168.1.244,192.168.1.230,,771,203,660069,Attack
19.72268903,UDP,192.168.1.221,192.168.1.11,55696,702,325,1234767,Attack
9.176532076,ICMP,192.168.1.105,192.168.1.222,64872,991,88,1126071,Normal
10.44720525,UDP,192.168.1.235,192.168.1.226,9188,129,856,34847,Attack
13.80510333,UDP,192.168.1.202,192.168.1.140,27900,83,413,798608,Normal
84.46639633,ICMP,192.168.1.80,192.168.1.19,22831,732,441,1370187,Normal
91.99842786,TCP,192.168.1.160,192.168.1.10,11658,373,642,751488,Attack
44.3357093,UDP,192.168.1.167,192.168.1.96,57250,120,532,1345793,Normal
40.08163562,TCP,192.168.1.21,192.168.1.120,30353,579,107,775006,Attack
21.80298554,TCP,192.168.1.132,192.168.1.139,38120,769,869,,Attack
79.82581817,UDP,192.168.1.21,192.168.1.199,41941,943,316,351565,Normal
44.00044145,ICMP,192.168.1.179,192.168.1.229,38510,680,522,661977,Normal
53.17891952,ICMP,192.168.1.119,192.168.1.243,9467,675,345,906911,Normal
96.74844903,UDP,192.168.1.209,192.168.1.160,60329,258,837,475195,Normal
37.84701987,ICMP,192.168.1.194,192.168.1.45,7287,566,979,457231,Normal
73.23187411,TCP,192.168.1.15,192.168.1.173,17228,475,871,1166043,Normal
2.979536674,UDP,192.168.1.62,192.168.1.195,24904,810,645,1118200,Attack
36.74891309,ICMP,192.168.1.41,192.168.1.247,36694,417,469,1057980,Normal
28.32813659,ICMP,192.168.1.52,192.168.1.161,11051,566,120,1108419,Attack
72.953695,UDP,192.168.1.15,192.168.1.88,3661,295,861,1034208,Attack
25.26312109,TCP,192.168.1.229,192.168.1.175,33331,799,15,25166,Normal
36.14316609,TCP,192.168.1.202,192.168.1.238,50820,199,977,203536,Attack
6.809829132,TCP,192.168.1.233,192.168.1.120,6805,1006,772,1375801,Normal
28.99883309,ICMP,192.168.1.232,192.168.1.28,61767,196,630,609932,Attack
39.38824771,UDP,192.168.1.116,192.168.1.174,21329,371,602,640969,Normal
61.38530281,TCP,192.168.1.237,192.168.1.136,20566,190,967,1347312,Attack
16.1464113,TCP,192.168.1.193,192.168.1.153,36843,991,585,423438,Attack
16.99637578,UDP,192.168.1.107,192.168.1.115,5432,702,304,216071,Normal
31.2495419,UDP,192.168.1.206,192.168.1.220,22946,708,258,68114,Normal
64.71905695,TCP,192.168.1.108,192.168.1.219,14315,355,152,935689,Normal
90.65849927,ICMP,192.168.1.66,192.168.1.121,49746,680,762,1358079,Normal
76.02778922,TCP,192.168.1.119,192.168.1.227,20649,779,198,653911,Attack
20.42611894,TCP,192.168.1.229,192.168.1.144,50741,756,233,1203637,Attack
35.98524155,UDP,192.168.1.57,192.168.1.15,1577,289,324,626946,Normal
12.97811501,ICMP,192.168.1.255,192.168.1.136,19753,33,378,329675,Attack
3.517009065,UDP,192.168.1.54,192.168.1.108,17944,374,590,1444253,Normal
40.96692821,TCP,192.168.1.102,192.168.1.74,41849,740,648,56462,Normal
66.29437885,TCP,192.168.1.51,192.168.1.215,65450,879,933,168857,Attack
94.62808108,TCP,192.168.1.14,192.168.1.13,42866,756,516,442020,Attack
2.609385342,UDP,192.168.1.92,192.168.1.125,49950,916,165,1481622,Normal
50.82514859,TCP,192.168.1.217,192.168.1.131,20579,869,768,277120,Normal
94.08982772,ICMP,192.168.1.239,192.168.1.244,9405,892,528,970664,Attack
